Run,Event,type1,Q1,pt1,eta1,phi1,E1,px1,py1,pz1,type2,Q2,pt2,eta2,phi2,E2,px2,py2,pz2,M
166502,47224973,G,-1,1.7073,2.2085,1.2739,7.8649,0.4994,1.6327,7.6766,G,1,32.2715,1.3778,1.7619,68.0632,-6.1311,31.6837,59.9261,7.2890
166502,47466493,G,1,4.5690,-1.0270,1.5761,7.1989,-0.0243,4.5689,-5.5621,T,-1,1.7042,-1.8939,-3.0539,5.7915,-1.6976,-0.1493,-5.5340,4.8042
166502,47586821,G,1,6.0899,-0.9346,-2.5748,8.9494,-5.1377,-3.2697,-6.5570,G,-1,4.6583,1.4286,-2.4284,10.2775,-3.5228,-3.0479,9.1606,15.7460
166502,47505020,G,1,17.1112,-0.3892,2.5713,18.4241,-14.4030,9.2384,-6.8296,G,-1,9.1301,-0.4731,2.5698,10.1717,-7.6780,4.9404,-4.4826,1.0490
166502,46493279,G,1,3.3930,1.0498,0.7296,5.4417,2.5292,2.2617,4.2530,T,-1,0.8485,-2.2546,0.0546,4.0894,0.8472,0.0463,-3.9990,8.6025
166502,46623199,G,1,5.6259,-2.3712,-2.5486,30.3901,-4.6655,-3.1439,-29.8647,T,-1,1.2876,-2.2800,2.9465,6.3610,-1.2631,0.2496,-6.2285,2.0811
166502,47049263,G,-1,5.6215,-1.7608,2.0378,16.8345,-2.5308,5.0196,-15.8679,G,1,18.5322,-0.1988,-1.9842,18.9001,-7.4449,-16.9711,-3.7091,25.5207
166502,46784197,G,1,28.7380,1.8434,-2.6052,93.0593,-24.7024,-14.6856,88.5108,G,-1,31.1708,-0.1276,0.5191,31.4252,27.0640,15.4647,-3.9892,91.3578
166502,47079085,G,-1,33.8161,-2.3842,3.0110,185.0180,-33.5280,4.4045,-181.9010,T,1,0.9277,-1.7577,-2.0898,2.7720,-0.4601,-0.8055,-2.6100,7.1905
166502,46569626,G,-1,2.7914,-2.3401,-2.8331,14.6246,-2.6596,-0.8475,-14.3554,T,1,1.3906,-2.1545,-2.9699,6.0779,-1.3702,-0.2375,-5.9158,0.4545
166502,53746036,G,-1,18.4735,1.1536,0.2583,32.1903,17.8607,4.7186,26.3616,T,1,3.5617,1.3099,0.0628,7.0812,3.5547,0.2234,6.1193,2.0297
166502,54382676,G,-1,32.1303,2.0286,-2.0678,124.2620,-15.3188,-28.2434,120.0370,G,1,31.2648,0.1818,1.0645,31.7831,15.1625,27.3420,5.7153,92.3892
166502,53746362,G,1,3.4795,2.1594,-1.8156,15.2783,-0.8433,-3.3758,14.8764,T,-1,2.5104,2.0192,-1.8589,9.6223,-0.7133,-2.4069,9.2885,0.4340
166502,54513847,G,1,6.5426,-1.1343,3.1133,11.2230,-6.5399,0.1849,-9.1181,T,-1,2.0218,-1.4185,2.7173,4.4221,-1.8425,0.8324,-3.9314,1.7674
166502,53909895,G,1,30.6669,-0.1648,-2.1557,32.3304,-17.6175,-26.5879,-5.2870,T,-1,1.0373,-2.0446,2.0984,4.0759,-0.5223,0.8962,-3.9402,15.5382
166502,54228263,G,1,4.2782,-2.2319,0.0436,20.1612,4.2741,0.1866,-19.7017,T,-1,0.7387,-2.0202,-1.2808,2.8361,0.2112,-0.7079,-2.7361,2.2185
166502,53589432,G,-1,17.8255,-0.5763,3.0623,20.8690,-17.7695,1.4120,-10.8516,T,1,1.7482,2.1245,1.8844,7.4204,-0.5394,1.6629,7.2108,21.0312
166502,53982320,G,1,85.2546,0.4521,-0.7997,94.1158,59.4151,-61.1407,39.8677,T,-1,11.8306,0.4711,-0.8541,13.1683,7.7717,-8.9199,5.7818,1.8291
166502,54198344,G,-1,21.1633,-1.9050,2.6189,72.6795,-18.3370,10.5659,-69.5299,G,1,2.2975,-1.4646,2.5203,5.2359,-1.8682,1.3373,-4.7038,3.1713
166502,54302120,G,1,41.7427,-0.6822,-1.1947,51.8404,15.3333,-38.8245,-30.7402,G,-1,29.0085,0.3278,1.6331,30.5815,-1.8051,28.9523,9.6812,77.9061
166502,53995170,G,-1,30.5103,0.8009,-2.6530,40.8300,-26.9397,-14.3224,27.1331,G,1,5.1719,0.7712,-2.7718,6.7885,-4.8224,-1.8692,4.3959,1.5382
166502,54388466,G,-1,3.8754,-1.4067,0.0537,8.3856,3.8698,0.2081,-7.4357,G,1,7.6504,-1.1928,2.3744,13.7700,-5.5073,5.3102,-11.4487,10.0534
166502,53982273,G,1,15.4754,2.3367,-1.6127,80.8091,-0.6489,-15.4618,79.3133,T,-1,1.6110,1.6805,-2.4912,4.4755,-1.2821,-0.9754,4.1741,5.3998
166502,54194865,G,-1,30.6821,1.4007,2.3486,66.0381,-21.5297,21.8602,58.4776,T,1,1.1197,-1.9957,2.3283,4.1963,-0.7694,0.8135,-4.0428,30.9546
166502,53445551,G,-1,14.1666,-2.0033,0.5358,53.4695,12.1814,7.2323,-51.5585,T,1,0.7303,-2.0262,1.7018,2.8196,-0.0954,0.7240,-2.7214,3.5423
166502,53923671,G,-1,2.8330,-2.3522,0.8605,15.0203,1.8474,2.1478,-14.7503,T,1,0.8434,2.1976,-0.6224,3.8452,0.6853,-0.4917,3.7501,15.0225
166502,53251749,G,1,12.9294,-1.2495,-1.1415,24.4057,5.3820,-11.7560,-20.6993,G,-1,4.2653,2.3607,2.7260,22.8043,-3.9022,1.7219,22.4016,46.0758
166502,53414925,G,-1,12.9057,-1.7108,-3.1023,36.8717,-12.8957,-0.5064,-34.5392,T,1,5.0623,-1.9160,-2.8402,17.5681,-4.8341,-1.5028,-16.8226,2.6878
166502,54562074,G,1,7.0297,-1.8550,2.4757,23.0150,-5.5278,4.3429,-21.9149,T,-1,1.3935,-2.0129,1.3332,5.3094,0.3280,1.3543,-5.1222,3.4205
166502,53636683,G,1,3.9774,2.3771,2.3961,21.6094,-2.9223,2.6981,21.2399,T,-1,2.1866,1.4392,1.5144,4.8714,0.1233,2.1831,4.3518,3.8158
166502,53417597,G,1,10.4488,0.5144,3.0571,11.8626,-10.4115,0.8817,5.6153,T,-1,2.4163,-1.5722,-2.1556,6.0716,-1.3339,-2.0147,-5.5691,13.5034
166502,54405837,G,1,20.9235,-2.2365,-2.7882,99.0404,-19.6302,-7.2420,-96.8049,G,-1,16.6927,-0.8091,0.2301,22.4608,16.2527,3.8073,-15.0278,47.2517
166502,53479091,G,1,18.2343,0.9348,-1.0386,26.7985,9.2534,-15.7120,19.6381,T,-1,0.7881,1.9809,-0.1702,2.9131,0.7768,-0.1335,2.8025,5.2335
166502,54111499,G,1,1.9575,2.2150,0.8770,9.0744,1.2517,1.5049,8.8601,T,-1,0.7714,1.9818,-0.8885,2.8538,0.4864,-0.5987,2.7455,1.9202
166502,53382494,G,-1,19.0091,-0.7907,1.4594,25.2685,2.1125,18.8914,-16.6475,G,1,8.6505,-0.8135,1.2903,11.6749,2.3950,8.3124,-7.8397,2.1863
166502,54504387,G,1,23.7609,0.0817,-2.5820,23.8190,-20.1184,-12.6023,1.9410,T,-1,1.0477,-2.1136,-0.8716,4.4011,0.6742,-0.8019,-4.2732,15.2746
166502,53912262,G,1,44.7111,0.0555,-0.5616,44.7802,37.8442,-23.8096,2.4847,G,-1,39.0390,-0.7600,2.6719,50.8670,-34.8119,17.6686,-32.6097,90.5202
166502,54089318,G,1,19.5627,-1.5295,-2.1090,47.2667,-10.0276,-16.7972,-43.0282,G,-1,33.5535,-1.4350,-2.1446,74.4516,-18.2149,-28.1789,-66.4619,2.5873
166502,54346054,G,-1,3.0442,2.3266,1.6079,15.7393,-0.1128,3.0421,15.4417,T,1,1.0048,2.2367,2.5759,4.7585,-0.8482,0.5386,4.6500,1.6352
166502,54241816,G,1,22.2998,2.0467,1.6980,87.7669,-2.8279,22.1197,84.8866,T,-1,3.3663,1.8324,1.5003,10.7877,0.2372,3.3580,10.2484,2.5269
166502,54294408,G,1,33.3120,-1.9880,-2.2549,123.8860,-21.0524,-25.8164,-119.3230,T,-1,1.1253,-2.3298,-2.8397,5.8373,-1.0744,-0.3346,-5.7268,4.1086
